Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 6, estrofe 53, verso 6;De caualeiro, destro, ou esforçado:;De caualleiro, defiro, ou esforçado:
Canto 6, estrofe 53, verso 8;Destarte fala aa forte companhia,;Destarte falla aa forte companhia.
Canto 6, estrofe 54, verso 1;Fortissimos consocios, eu desejo;Fortisimos consocios, eu desejo
Canto 6, estrofe 54, verso 3;Por ver mais agoas, que as do Douro & Tejo,;Por ver mais agoas, q as do Douro & Tejo,
Canto 6, estrofe 54, verso 6;(Pois que do mundo as cousas sam tamanhas);(Pois que do mũdo as cousas sam tamanhas)
Canto 6, estrofe 54, verso 7;Quero se me deixais, ir sò por terra,;Quero se me deixais, ir so por terra,
Canto 6, estrofe 54, verso 8;Porque eu serey conuosco em Inglaterra.;Porque eu serey comuosco em Ingraterra.
Canto 6, estrofe 55, verso 3;Não for com vosco ao prazo instituido,;Não for com vosco ao prazo instituido
Canto 6, estrofe 55, verso 5;Todos por mi fareis o que he diuido:;Todos por my fareis o que he diuido:
Canto 6, estrofe 55, verso 6;Mas se a verdade o sprito me adiuinha,;Mas se a verdade o spirito me adiuinha,
Canto 6, estrofe 55, verso 8;Não farão que eu com vosco la não seja.;Nam faram que eu com vosco la nam seja.
Canto 6, estrofe 56, verso 1;Assi diz, & abraçados os amigos,;Asi diz, & abraçados os amigos,
Canto 6, estrofe 56, verso 5;Nauarra, cos altissimos perigos;Nauarra, cos altisimos perigos
Canto 6, estrofe 57, verso 5;Chegados de Inglaterra aa costa estranha,;Chegados de Ingraterra aa costa estranha,
Canto 6, estrofe 57, verso 8;E das damas seruidos, & amimados.;E das damas seruidos & animados.
Canto 6, estrofe 58, verso 1;Chegasse o prazo, e dia asinalado,;Chegase o prazo, & dia assinalado,
Canto 6, estrofe 58, verso 2;De entrar em campo ja cos doze Ingleses,;De eutrar em campo ja cos doze lngreses,
Canto 6, estrofe 58, verso 3;Que pello Rey ja tinhão segurado,;Que pello Rey ja tinham segurado,
Canto 6, estrofe 58, verso 4;Armanse delmos, greuas, e de arneses:;Armanse delmos, greuas, & de arneses:
Canto 6, estrofe 58, verso 5;Ia as damas tem por si fulgente e armado;la as damas tem por si fulgente & armado
Canto 6, estrofe 58, verso 8;De ouro, & de joyas mil, ricas, & ledas.;De ouro, & de joyas mil, ricas & ledas.
Canto 6, estrofe 59, verso 3;Se veste, por não ter quem nomeado;Se veste, por nam ter quem nomeado
Canto 6, estrofe 59, verso 4;Seja seu caualeiro, nesta empresa:;Seja seu caualleiro, nesta empresa:
Canto 6, estrofe 59, verso 5;Bem que os onze apregoão, que acabado;Dem que os duze apregoão, que acabado
Canto 6, estrofe 59, verso 6;Sera o negocio assi na corte Inglesa,;Sera o negocio assi na corte Ingresa,
Canto 6, estrofe 59, verso 7;Que as damas vencedoras se conheção;Que as damas vencedoras se conheçam
Canto 6, estrofe 60, verso 2;Se assenta o Rey Ingles com toda a corte,;Se assenta o Rey Ingres com toda a corte,
Canto 6, estrofe 60, verso 4;Bem como a cada qual coubera em sorte:;Bem como a cada qual cabe em forte:
Canto 6, estrofe 60, verso 5;Não sam vistos do Sol do Tejo ao Batro,;Nam sam vistos do Sol do Tejo ao Brato,
Canto 6, estrofe 60, verso 6;De força, esforço, e danimo mais forte,;De força, esforço, & danimo mais forte,
Canto 6, estrofe 60, verso 7;Outros doze sayr como os Ingleses;Outros doze sair como os Ingreses
Canto 6, estrofe 61, verso 2;Os aureos freos, com feroz sembrante,;Os aureos freos, com feroz lembrante,
Canto 6, estrofe 61, verso 3;Estaua o Sol nas armas rutilando,;Estaua o Sol nas armas rutilando
Canto 6, estrofe 61, verso 8;Começa a aluoroçar se geralmente.;Começa a aluoroçarse geralmente.
Canto 6, estrofe 62, verso 1;Virão todos o rosto aonde auia;Viram todos o rosto aonde auia
Canto 6, estrofe 62, verso 3;Eis entra hum caualeiro, que trazia;Eis entra hum caualleiro, que trazia
Canto 6, estrofe 62, verso 4;Armas, caualo, ao bellico seruiço.;Armas, cauallo, ao bellico seruiço:
Canto 6, estrofe 62, verso 5;Ao Rey & aas damas fala, e logo se hia;Ao Rey & aas damas fala, & logo se hia
Canto 6, estrofe 62, verso 6;Pera os onze, que este era o gram Magriço,;Pera os onze, que este era o gram Magriço
Canto 6, estrofe 62, verso 8;A quem não falta certo nos perigos.;A quem nam falta certo nos perigos.
Canto 6, estrofe 63, verso 1;A dama como ouuio, que este era aquelle,;A dama como ouuio, que este era aquelle
Canto 6, estrofe 63, verso 2;Que vinha a defender seu nome, & fama,;Que vinha a defender seu nome & fama
Canto 6, estrofe 63, verso 3;Se alegra, & veste ali do animal de Hele,;Se alegra & veste ali do animal de Hele
Canto 6, estrofe 63, verso 4;Que a gente bruta mais que vertude ama:;Que a gente bruta mais que virtude ama:
Canto 6, estrofe 63, verso 5;Ia dão sinal, & o som da tuba impelle;Ia dão final & o som da tuba impelle
Canto 6, estrofe 63, verso 6;Os belicosos animos, que inflama,;Os belicosos animos que inflama
Canto 6, estrofe 63, verso 7;Picão desporas, largão redeas logo;Picão desporas largam redeas logo
Canto 6, estrofe 63, verso 8;Abaxão lanças, fere a terra fogo.;Abaixão lanças, fere a terra fogo.
Canto 6, estrofe 64, verso 2;Que faz, que o chão debaixo todo treme,;que faz, que o chão debaixo todo treme,
Canto 6, estrofe 64, verso 3;O coração no peito, que estremece;O coraçam no peito, que estremece
Canto 6, estrofe 64, verso 4;De quem os olha, se aluoroça, & teme:;De quem os olha, se aluoroça, & teme
Canto 6, estrofe 64, verso 5;Qual do caualo voa, que não dece,;qual do caualo voa, que nam dece,
Canto 6, estrofe 64, verso 6;Qual co caualo em terra dando, geme,;qual co caualo em terra dando, geme,
Canto 6, estrofe 64, verso 7;Qual vermelhas as armas faz de brancas,;qual vermelho as armas faz de brancas,
Canto 6, estrofe 64, verso 8;Qual cos penachos do elmo açouta as ancas.;qual cos penachos do elmo açouta as ancas.
Canto 6, estrofe 65, verso 5;Cae a soberba Inglesa de seu trono,;Cae a soberba Ingresa de seu trono,
Canto 6, estrofe 65, verso 8;Mais achão ja que arnes, escudo, e malha.;Mais achão ja que arnes, escudo & malha.
Canto 6, estrofe 66, verso 7;Cos nossos fica a palma da victoria,;Cos nossos fica a palmada victoria,
Canto 6, estrofe 67, verso 7;Em quanto se detem em Inglaterra,;Em quanto se detem em Ingraterra,
Canto 6, estrofe 67, verso 8;Ate tornar aa doce & chara terra.;Ate tornar aa doçe & chara terra.
Canto 6, estrofe 68, verso 4;Notauel aa condessa fez de Frandes:;N tauel aa condessa fez de Frandes:
Canto 6, estrofe 68, verso 5;E como quem não era ja nouiço;E como quem nam era ja nouiço
Canto 6, estrofe 68, verso 7;Hum Frances mata em campo, que o destino;Hum Franes mata em campo, que o destino
Canto 6, estrofe 68, verso 8;La teue de Torcato & de Coruino.;La teue de Trocato & de Coruino.
Canto 6, estrofe 69, verso 4;Não diuida o quis pòr no estremo fio:;Nam diuida o quis pòr no estremo fio:
Canto 6, estrofe 69, verso 5;Contando assi Veloso, ja a companha;Contando asi Veloso, ja acompanha
Canto 6, estrofe 69, verso 6;Lhe pede, que não faça tal desuio;Lhe pede, que nam faça tal desuio
Canto 6, estrofe 69, verso 7;Do caso de Magriço, & vencimento;Do caso de MAgriço, & vencimento
Canto 6, estrofe 69, verso 8;Nem deixe o de Alemanha em esquecimento.;Nem deixe o de Alemanha em esquecimẽto
Canto 6, estrofe 70, verso 1;Mas neste passo assi promptos estando,;Mas neste passo asi promptos estando,
Canto 6, estrofe 70, verso 3;O apito toca, acordão despertando;O apito toca, acordam despertando
Canto 6, estrofe 70, verso 6;Os traquetes das gaueas tomar manda,;Os traquetes das gaueas tomar mando,
Canto 6, estrofe 70, verso 7;Alerta, disse, estay, que o vento crece;Alerta, disse, estay, que o vento cresce
Canto 6, estrofe 71, verso 1;Não erão os traquetes bem tomados,;Não eram os traquetes bem tomados,
Canto 6, estrofe 71, verso 5;Não esperaõ os ventos indinados;Não esperam os ventos indinados
Canto 6, estrofe 71, verso 6;Que amainassem, mas juntos dando nella,;Que amainassem, mas juntos dando nella
Canto 6, estrofe 72, verso 1;Oceo fere com gritos nisto a gente,;O ceo fere com gritos nisto a gente,
Canto 6, estrofe 72, verso 2;Cum subito temor, e desacordo,;Cum subito temor, & desacordo,
Canto 6, estrofe 72, verso 5;Alija, disse o mestre, rijamente,;Alija disse o mestre, rijamente,
Canto 6, estrofe 72, verso 6;Alija tudo ao mar, não falte acordo,;Alija tudo ao mar, nam falte acordo,
Canto 6, estrofe 72, verso 7;Vão outros dar a bomba não cessando,;Vão outros dar a bomba nam cessando,
Canto 6, estrofe 73, verso 2;A dar aa bomba, e tanto que chegarão,;A dar aa bomba, & tanto que chegaram,
Canto 6, estrofe 73, verso 4;Derão aa Nao, num bordo os derribarão:;Derão aa Nao, num bordo os derribaram:
Canto 6, estrofe 73, verso 5;Tres marinheiros duros, e forçosos,;Tres marinheiros duros, & forçosos,
Canto 6, estrofe 73, verso 6;A menear o leme não bastarão,;A menear o leme nam bastaram,
Canto 6, estrofe 73, verso 8;Se aproveitar dos homens força & arte.;Se aproueitar dos homẽs força & arte.
Canto 6, estrofe 74, verso 1;Os ventos erão tais, que não poderão;Os ventos eram tais, que nam poderam
Canto 6, estrofe 74, verso 3;Se pera derribar então vierão;Se pera derribar entam vieram
Canto 6, estrofe 74, verso 5;Nos altissimos mares, que crecerão,;Nos altissimos mares, que creceram,
Canto 6, estrofe 74, verso 7;Mostra a possante nao, que moue espanto;Mostra a possante nao, que mue espanto
Canto 6, estrofe 75, verso 4;Aquelle que a salvar o mundo veyo:;Aquelle que a saluar o mundo veyo:
Canto 6, estrofe 75, verso 8;Que primeiro amainou que desse o vento:;Que primeiro amainou que desse o vento.
Canto 6, estrofe 77, verso 2;Iunto da costa braua leuantarão,;lunto da costa braua leuantarão,
Canto 6, estrofe 77, verso 3;Lembrando se de seu passado pranto,;Lembrandose de seu passado pranto,
Canto 6, estrofe 77, verso 8;Que nem no fundo os deixa estar seguros;Que nem no fuudo os deixa estar seguros.
Canto 6, estrofe 78, verso 7;No gram diluuio, donde sos viuerão;No gram diluuio, donde sos viueram
Canto 6, estrofe 78, verso 8;Os dous que em gente as pedras conuerterão.;Os dous que em gente as pedras conuerteram.
Canto 6, estrofe 79, verso 1;Quantos montes então, que derribarão;Quantos montes entam, que derribaram
Canto 6, estrofe 79, verso 2;As ondas que batião denodadas,;As ondas que batiam denodadas,
Canto 6, estrofe 79, verso 3;Quantas aruores velhas arrancarão;Quantas aruores velhas arrancaram
Canto 6, estrofe 79, verso 5;As forçosas raizes não cuidarão;As forçosas raizes nam cuidaram
Canto 6, estrofe 79, verso 7;Nem as fundas arêas que podessem;Nem as fundas arèas que podessem
Canto 6, estrofe 81, verso 3;Tu que a todo Israel refugio deste;Tu que a todo lsrael refugio deste
Canto 6, estrofe 81, verso 5;Tu que liuraste Paulo & defendeste;Tu que livraste Paulo & defendeste
Canto 6, estrofe 82, verso 2;Doutra Scylla & Caribdis ja passados,;Doutro Soylla & Caribdis ja passados,
Canto 6, estrofe 82, verso 3;Outras Syrtes, & baxos arenosos,;Outras Syrtes, & baixos arenosos,
Canto 6, estrofe 82, verso 6;Por que somos de ti desemparados,;Porque somos de ti desemparados,
Canto 6, estrofe 82, verso 7;Se este nosso trabalho não te offende;Se este nosso trabalho nam te offende,
Canto 6, estrofe 83, verso 1;O ditosos aquelles que puderão;O ditosos aquelles que puderam
Canto 6, estrofe 83, verso 3;Morrer, em quanto fortes sostiverão;Morrer, em quanto fortes sostiueram
Canto 6, estrofe 83, verso 5;De quem feitos illustres se souberão,;De quem seitos illustres se souberam,
Canto 6, estrofe 83, verso 6;De quem ficão memorias soberanas,;De quem ficam memorias soberanas,
Canto 6, estrofe 83, verso 8;Doce fazendo a morte as honras della.;Doçe fazendo a morte as honras della.
Canto 6, estrofe 84, verso 3;Mais & mais a tormenta acrecentauão,;Mais & mais atormenta acrecentauão,
Canto 6, estrofe 84, verso 5;Relampados medonhos não cessauão,;Relampados medonhos nam cessauão,
Canto 6, estrofe 84, verso 6;Feros trovoẽs que vem representando;Feros trouões que vem representando
Canto 6, estrofe 85, verso 4;A terra, & o largo mar, com leda fronte:;Aterra, & o largo mar, com leda fronte:
Canto 6, estrofe 85, verso 5;A deosa que nos ceos a gouernaua,;A deosa que nos ceos àgouernaua,
Canto 6, estrofe 85, verso 6;De quem foge o ensifero Orionte,;De quem foge o ensifero Oriente,
Canto 6, estrofe 86, verso 2;Disse, mas não serâ, que auante leve;Disse, mas nam sera, que auante leve
Canto 6, estrofe 86, verso 3;Tão danada tenção, que descuberto;Tam danada tençam, que descuberto
Canto 6, estrofe 87, verso 3;Quem não dirâ, que nacem roxas flores;Quem nam dirá, que nacem roxas flores
Canto 6, estrofe 87, verso 8;Que mais fermosas vinhão que as estrellas.;Que mais fermosas vinham que as estrellas.
Canto 6, estrofe 88, verso 1;Assi foy, porque tanto que chegarão;Assi foy, porque tanto que chegaram
Canto 6, estrofe 88, verso 3;As forças com que dantes pellejarão,;As forças com que dantes pellejaram,
Canto 6, estrofe 88, verso 4;E ja como rendidos lhe obedecem.;E ja como rendidos lhe obedecem:
Canto 6, estrofe 88, verso 5;Os pes & mãos, parece, que lhe atarão;Os pès & mãos, parece, que lhe ataram
Canto 6, estrofe 89, verso 1;Não creas, fero Boreas, que te creyo;Não creas , fero Boreas, que te creyo
Canto 6, estrofe 89, verso 4;E não conuem furor a firme amante:;E nam conuem furor a firme amante:
Canto 6, estrofe 89, verso 5;Se ja não poẽs a tanta insania freyo,;Se ja nam pões a tanta infania freyo,
Canto 6, estrofe 89, verso 6;Não esperes de mi daqui em diante,;Não esperes de my daqui em diante,
Canto 6, estrofe 90, verso 4;E bem crê que com elle tudo acabe,;E bem crè que com elle tudo acabe,
Canto 6, estrofe 90, verso 6;Que o coração no peito lhe não cabe,;Que o coraçam no peito lhe não cabe,
Canto 6, estrofe 91, verso 1;Desta maneira as outras amansauão;Desta maneira as outras amansauam
Canto 6, estrofe 91, verso 3;E logo aa linda Venus se entregauão;E logo aa linda Venus se entregauam,
Canto 6, estrofe 91, verso 5;Ella lhe prometeo vendo que amauão;Ella lhe prometeo vendo que amauam
Canto 6, estrofe 91, verso 7;Nas bellas mãos tomandolhe omenagem;Nas bellas mãos tomandolhe omenahem
Canto 6, estrofe 92, verso 1;la a menham clara dava nos outeiros,;Ia a manham clara daua nos outeiros,
Canto 6, estrofe 92, verso 4;Enxergarão terra alta pella proa,;Enxegarão terra alta pella proa,
Canto 6, estrofe 92, verso 5;la fora de tormenta, & dos primeiros;Ia fora de tormenta, & dos primeiros
Canto 6, estrofe 93, verso 3;E se do munđo mais não desejais,;E se do mundo mais não desejais,
Canto 6, estrofe 93, verso 5;Soffrer aqui não pode o Gama mais,;Soffrer aqui nam pode o Gama mais,
Canto 6, estrofe 93, verso 8;A merce grande a Deos agardeceo.;A merce grande a Deos agradeceo.
Canto 6, estrofe 94, verso 1;As graças a Deos daua, & razão tinha;As graças a Deos daua, & razam tinha
Canto 6, estrofe 94, verso 2;Que não somente a terra lhe mostraua,;Que nam somente a terra lhe mostraua,
Canto 6, estrofe 94, verso 4;Por quem tanto trabalho esprimentava,;Porquem tanto trabalho esprimentaua,
Canto 6, estrofe 94, verso 5;Mas via se liurado tão asinha;Mas via se livrado tam asinha
Canto 6, estrofe 95, verso 2;Destes trabalhos graues & temores,;Destes trabalhos graues & temores
Canto 6, estrofe 95, verso 5;Não encostados sempre nos antigos;Nam encostados sempre nos antigos
Canto 6, estrofe 95, verso 7;Não nos leitos dourados, entre os finos;Nam nos leitos dourados, entre os finos
Canto 6, estrofe 96, verso 7;Que não soffre a nenhum que o passo mude;Que nam soffre a nenhum que o passo mude
Canto 6, estrofe 97, verso 6;Do Sul, & regioẽs de abrigo nuas,;Do Sul, & regiões de abrigo nuas,
Canto 6, estrofe 98, verso 6;Desprezador das honras, & dinheiro,;Desprezador das honras, & dinheiro
Canto 6, estrofe 98, verso 7;Das honras, & dinheiro, que a ventura;, Das honras, & dinheiro, que a ventura
Canto 6, estrofe 98, verso 8;Forjou, & não vertude justa, & dura.;Forjou, & não virtude justa & dura.
Canto 6, estrofe 99, verso 3;E fica vendo, como de alto assento,;E fica vendo, como de alto assento
Canto 6, estrofe 99, verso 4;O baxo tracto humano embaraçado,;O baixo tracto humano embaraçado,
Canto 6, estrofe 99, verso 8;Contra vontade sua, & não rogando.;Contra vontade sua, & nam rogando.
Canto 7, estrofe 1, verso 2;Que desejada ja de tantos fora,;Que desejada ja de tantos forà,
Canto 7, estrofe 1, verso 3;Que entre as correntes Indicas se encerra,;Que entre ascorrentes Indicas se encerra,
Canto 7, estrofe 2, verso 1;A vos, ô geraçam de Luso digo,;A vos, ò geraçam de Luso digo,
Canto 7, estrofe 2, verso 3;Não digo inda no mundo, mas no amigo;Nam digo inda no mundo, mas no amigo
Canto 7, estrofe 2, verso 5;Vos, a quem não somente algum perigo;Vos, a quem nam somente algum perigo
Canto 7, estrofe 2, verso 8;Da Madre, que nos çeos estâ em essencia.;Da Madre, que nos çeos està em essencia.
Canto 7, estrofe 3, verso 2;Que o fraco poder vosso não pesais,;Que o fraco poder vosso nam pesais,
Canto 7, estrofe 3, verso 8;Que tanto, ô Christo exaltas a humildade.;Que tanto, ô Christo exaltas a humildado.
Canto 7, estrofe 4, verso 5;Vedelo em seas guerras occupado,;Vedelo em feas guerras occupado,
Canto 7, estrofe 4, verso 7;Não contra o superbissimo Otomano:;Nam contra o superbissimo Otomano:
Canto 7, estrofe 5, verso 1;Vedelo duro Ingles, que se nomea;Vedelo duro Ingres, que se nomea
Canto 7, estrofe 5, verso 8;Nam por tomar a terra que era sua.;Não por tomar a terra que era sua.
Canto 7, estrofe 6, verso 3;Em quanto elle não guarda a sancta lei,;Em quanto elle nam guarda a sancta lei,
Canto 7, estrofe 6, verso 4;Da cidade Hierosolima celeste:;Da cidade Hieroselima celeste:
Canto 7, estrofe 6, verso 8;Mas pera ser contra elle, & derribalo.;Mas pera ser contra elle, & derribala.
Canto 7, estrofe 7, verso 2;De Christãos, sendo o teu tam largo & tāto,;De Christãos, sendo o teu tam largo & tãto
Canto 7, estrofe 7, verso 3;E nam contra o Cynisio & Nilo rios;E nam contra o Cynifio & Nilo rios
Canto 7, estrofe 7, verso 4;Inimigos do antigo nome sancto,;lnimigos do antigo nome sancto,
Canto 7, estrofe 7, verso 8;Erdaste, & as causas nam da justa guerra?;Erdaste, & as causas nam da justa guerras?
Canto 7, estrofe 8, verso 6;Que o pouo forte tem de si inimigo,;Que o pouo forte te, de si inimigo,
Canto 7, estrofe 9, verso 8;Fazendo se famosos pela guerra?;Fazendose famosos pola guerra?
Canto 7, estrofe 10, verso 1;Vedes que tem por vso & por decreto,;Vedes que tem por vso & pro decreto,
Canto 7, estrofe 10, verso 2;Do qual sam tão inteiros obseruantes,;Do qual sam tam inteiros obseruantes,
Canto 7, estrofe 10, verso 3;Ajuntarem exercito inquieto,;Ajunratem o exercito inquieto,
Canto 7, estrofe 10, verso 4;Contra os pouos, que sam de Christo amantes.;Contra os pouos, que sam de Christo amantes:
Canto 7, estrofe 11, verso 3;Nam vedes que Pactolo & Hermo rios,;Nam vedes que Pactolo & Hermorios,
Canto 7, estrofe 11, verso 8;Pois mouer vos não pode a casa Sancta.;Pois mouer vos não pode a casa Sancta,
Canto 7, estrofe 12, verso 5;Fazei que torne la aas siluestres couas,;Fazei que torne la aas siluestres couas
Canto 7, estrofe 12, verso 7;A Turca geração, que multiplica;A Turca geraçam, que multiplica
Canto 7, estrofe 12, verso 8;Na policia da vossa Europa rica.;Na policia da vossa Europa rica
Canto 7, estrofe 14, verso 1;Mas em tanto que cegos, & sedentos;Mas em tantos que cegos, & sedentos
Canto 7, estrofe 14, verso 3;Não faltarão Christãos atreuimentos,;Nam faltaram Christãos atreuimentos
Canto 7, estrofe 14, verso 4;Nesta pequena casa Lusitana;Nesta pequena tasa Lusitana
Canto 7, estrofe 14, verso 5;De Africa tem maritimos assentos,;De Affrica tem maritimos assentos,
Canto 7, estrofe 14, verso 6;He na Asia mais que todas soberana,;He na Asta mais que todas soberana,
Canto 7, estrofe 14, verso 8;E se mais mundo ouuera la chegâra.;E se mais muindo ouuera la chegára.
Canto 7, estrofe 15, verso 1;E vejamos em tanto que aconteçe;E vejamos em tanto que acontece
Canto 7, estrofe 15, verso 2;Aaquelles tam famosos nauegantes,;A aquelles tam famosos nauegantes,
Canto 7, estrofe 15, verso 7;Onde vẽ samear de Christo a ley,;Onde vem samear de Christo a ley,
Canto 7, estrofe 15, verso 8;E dar nono costume, & nouo Rei.;E dar nouo costume, & nouo Rei.
Canto 7, estrofe 16, verso 1;Tanto que aa noua terra se chegârão,;Tanto quẽ aa mua terra se chegáram,
Canto 7, estrofe 16, verso 2;Leues embarcações de pescadores;Lenes embarcações de pescadores
Canto 7, estrofe 16, verso 3;Acharão, que o caminho lhe mostrârão;que o çaminho lhe mostraram
Canto 7, estrofe 16, verso 5;Pera la logo as proas se inclinarão,;Pera la logo as proas se inclinaram,
Canto 7, estrofe 16, verso 8;O Rei que a terra toda possuia.;O Rei que aterra toda possuia.
Canto 7, estrofe 17, verso 1;Alem do Indo jaz, & âquem do Gange,;Alem do Indo jaz, & àquam do Gange,
Canto 7, estrofe 17, verso 2;Hum terreno muy grande, & assaz famoso,;Hum terreno muygrande, & assaz famos
Canto 7, estrofe 17, verso 7;Mahoma, algũs os Idolos adorão,;Mahoma, algũs os Idolos adoram,
Canto 7, estrofe 17, verso 8;Algũs os animais, que entre elles morão.;Agũs os animais, que entre elles meram.
Canto 7, estrofe 18, verso 7;No mar Indico, & cercão todo o peso;No mar lndico, & cercão todo o peso
Canto 7, estrofe 19, verso 1;Entre hum & o outro rio, em grande espaço;Entre hum & o outro rio em grande espaço
Canto 7, estrofe 19, verso 6;Gangetico, o rumor antigo conta.;Gangetico, o rumor antigo conta:
Canto 7, estrofe 19, verso 7;Que os vizinhos da terra moradores;Que os vizinhos da terra mor adores
Canto 7, estrofe 20, verso 3;Os Delijs, os Patanes, que em possança;Os Delys, os Patanes, que em possança
Canto 7, estrofe 20, verso 4;De terra, & gente, sam mais abundantes,;De terra, & gentes, sam mais abundantes,
Canto 7, estrofe 20, verso 5;Decanis, Oriâs, que a esperança;"Decanis, Oriás; que a esperança"
Canto 7, estrofe 20, verso 6;Tem de sua saluação nas resonantes;Tem de sua saluaçam nas resonantes
Canto 7, estrofe 20, verso 7;Agoas do Gange, & a terra de Bengala;Agoas do Gange, & a terra do Bengala
Canto 7, estrofe 20, verso 8;Fertil de sorte que outra não lhe igoala.;Fertil de sorte que outra nam lhe igoala.
Canto 7, estrofe 21, verso 1;O Reino de Cambaia bellicoso;Os Reino de Cambaia belicoso
Canto 7, estrofe 21, verso 8;Com que do Canarâ viue seguro.;Com que do Canarà viue seguro.
Canto 7, estrofe 22, verso 2;Do pê do qual pequena quantidade;Do pé do qual pequena quantidade
Canto 7, estrofe 22, verso 3;Se estende hũa fralda estreita, que combate;So estende hũa fralda estreita, que cômbate
Canto 7, estrofe 23, verso 1;Chegada a frota ao rico senhorio;Chegada a frota ao rico senhorio,
Canto 7, estrofe 24, verso 1;Entre a gente que a vello concorria,;Entre agente que a vello concorria,
Canto 7, estrofe 25, verso 7;Vimos buscar do Indo a grão corrente,;imos buscar do Indo a gram corrente,
Canto 7, estrofe 26, verso 3;Ouuindo as opressoẽs que na possajem;OuuIndo as opressoẽs que na passajem
Canto 7, estrofe 26, verso 6;So pera o Rei da terra releuaua,;Sa pera o Rei da terra releuaua,
Canto 7, estrofe 26, verso 7;Lhe diz que estaua fora da cidade.;Lhe diz que estaua fora da cidade,
Canto 7, estrofe 27, verso 1;E que em tanto que a noua lhe chegasse;E que em tanto que a noualhe chegasse
Canto 7, estrofe 27, verso 5;E despois que se hum pouco recreasse,;E despois que se hum pouco recreasse
Canto 7, estrofe 27, verso 6;Coelle pera a armada tornaria,;Co elle pera a armada tornaria,
Canto 7, estrofe 27, verso 7;Que alegria não pode ser tamanha,;Que alegria nam pode ser tamanha,
Canto 7, estrofe 27, verso 8;Que achar gente vezinha em terra estranha;Que achar gente vizinha em terra estranha.
Canto 7, estrofe 28, verso 2;O que o ledo Monçaide lhe offerece;O que o ledo Monçaide lhe offerece,
Canto 7, estrofe 28, verso 5;Ambos se tornão logo da cidade,;Ambos se tornam logo da cidade,
Canto 7, estrofe 29, verso 1;O Capitão o abraça em cabo ledo,;O Capitam o abraça em cabo ledo,
Canto 7, estrofe 29, verso 3;Iunto de si o assenta, & prompto & quedo;lunto de sio assenta, & prompto & quedo
Canto 7, estrofe 29, verso 5;Qual se ajuntava em Rodope o aruoredo,;Qual se ajuntaua em Rodope o aruoredo,
Canto 7, estrofe 29, verso 8;Tal a gente se ajunta a ouuir o Mouro:;Tal a gente se ajunta a ouuiro Mouro.
Canto 7, estrofe 30, verso 8;A Reinos tam remotos & apartados.;A Remos tam remotos & apartados.
Canto 7, estrofe 31, verso 5;Sabey que estais na India, onde se estende;Sabey que estais na lndia, onde se estende
Canto 7, estrofe 31, verso 6;Diverso pouo, rico & prosperado,;Diuerso pouo, rico & prosperado,
Canto 7, estrofe 32, verso 3;Do culto antigo os Idolos adora,;Do culto antigo os Ydolos adora,
Canto 7, estrofe 32, verso 7;Saramâ Perimal foy derradeiro;Saramà Perimal foy derradeiro,
Canto 7, estrofe 32, verso 8;Rei, que este Reino teue vnido & inteiro.;Rei, que este Reino teue vnido, & inteiro.
Canto 7, estrofe 33, verso 8;Que prosupos de nella morrer sancto.;Que prosupos de nella morrer sancto
Canto 7, estrofe 34, verso 1;Naos arma, & nellas mete curioso;Naos arma, & nessas mete curioso
Canto 7, estrofe 34, verso 6;Cos seus reparte, porque não lhe fica;Cos seus reparte, porque nam lhe fica
Canto 7, estrofe 34, verso 7;Erdeiro proprio, faz os mais aceitos,;Erdeiro proprio, fazos mais aceitos,
Canto 7, estrofe 35, verso 3;A qual Coulão, a qual dâ Cranganor;A qual Coulão, a qual dá Cranganor
Canto 7, estrofe 35, verso 8;Cidade ja por tracto nobre & rica.;Cidade ja oir tracto nobre & rica.
Canto 7, estrofe 36, verso 1;Esta lhe dâco titulo excellente;Esta lhe dà co titulo excellente
Canto 7, estrofe 36, verso 6;Camorî, mais que todos digno, & grande;Comorî, mais que todos digno, & grande
Canto 7, estrofe 36, verso 7;Ao moço & descendentes, donde vem;Ao moço, & descendentes, donde vem
Canto 7, estrofe 37, verso 1;A ley da gente toda rica & pobre;A ley da gente toda rica & pobre,
Canto 7, estrofe 37, verso 4;As partes, que a cubrir natura insina:;As partes, que a cubrir natura enfina:
Canto 7, estrofe 37, verso 7;Poleâs tem por nome, a quem obriga;Oleas tem por nome, a quem obriga
Canto 7, estrofe 38, verso 2;De outro nam podẽ receber consorte,;De outro nam podem receber consorte,
Canto 7, estrofe 38, verso 4;Senão o de seus passados ate morte,;Senam o de seus passados ate morte,
Canto 7, estrofe 38, verso 5;Pera os Naires he certo grande viçio;Pera os Naires he certo grande vicio.
Canto 7, estrofe 39, verso 2;Nam tocaua na gente de Samaria,;Nam tocaua na gente de Samaria
Canto 7, estrofe 39, verso 4;Nesta terra vereis de vsança varia,;Nesta terra vereis de vsança varia.
Canto 7, estrofe 39, verso 8;Na ezquerda a adarga, e na dereita a espada:;Na ezquerda a adarga, e na dereita a espada.
Canto 7, estrofe 40, verso 1;Bramenes sam os seus religiosos,;Bramenes sam os seus religiosos
Canto 7, estrofe 40, verso 2;Nome antigo, & de grande preminencia,;Nome antigo, e degrande preminencia,
Canto 7, estrofe 40, verso 3;Observão os preceitos tam famosos;Obseruão os preceitos tam famosos
