Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 1, estrofe 85, verso 4;Caso do que cuydaua muy contrario:;Caso do que cuidaua muy contrario:
Canto 1, estrofe 85, verso 6;Quem se cre de seu perfido aduersario,;Quem se crè de seu perfido aduersario,
Canto 1, estrofe 86, verso 7;E porque o caso leue se lhe faça,;E porque o caso leue selhe faça,
Canto 1, estrofe 88, verso 3;O Touro busca, & pondo se diante,;O Touro busca, & pondose diante,
Canto 1, estrofe 88, verso 5;Mas o animal atroçe nesse instante,;Mas o animal atroce nesse instante,
Canto 1, estrofe 89, verso 1;Eis nos bateis o fogo se leuanta,;Eis nos bateis fogo se leuanta,
Canto 1, estrofe 89, verso 3;A plumbea pela mata, o brado espanta:;A plumbea pela mata, o brado espanta.
Canto 1, estrofe 90, verso 3;A pouoação sem muro, & sem defesa,;A pouoaçam sem muro, & sem defesa,
Canto 1, estrofe 90, verso 8;O velho inerte, & a mãy que o filho cria.;O velho Inerte, & a mãy que o filho cria.
Canto 1, estrofe 92, verso 1;Hũs vão nas almádias carregadas,;Hũs vão nas almàdias carregadas,
Canto 1, estrofe 93, verso 1;Tornão victoriosos pera a armada,;Tornam victoriosos pera a armada,
Canto 1, estrofe 93, verso 4;Sem achar resistencia, nem defesa;Sem achar resistencia, nem defesa,
Canto 1, estrofe 94, verso 6;Que toda a mà tenção no peito encerra.;Que toda a má tençam no peito encerra.
Canto 1, estrofe 95, verso 1;O Capitão, que ja lhe entam conuinha,;O Capitam, que ja lhe entam conuinha,
Canto 1, estrofe 95, verso 7;E respondendo ao mensageiro, a tento;E respondendo ao mensageiro, atento
Canto 1, estrofe 96, verso 3;Das filhas de Nerêo acompanhada,;Das filhas de Nerèo acompanhada,
Canto 1, estrofe 96, verso 5;O Capitão, que não cahia em nada,;O Capitam, que nam cahia em nada,
Canto 1, estrofe 96, verso 8;Da India toda, & costas que passaua:;Da India toda, & costas que passaua.
Canto 1, estrofe 97, verso 2;Que o maléuolo Baco lhe ensinára;Que o maléuolo Baco lhe ensinàra
Canto 1, estrofe 97, verso 5;Dando razão dos portos Indianos,;Dando razam dos portos Indianos,
Canto 1, estrofe 97, verso 6;Tambem tudo o que pede lhe declara.;Tambem tudo o que pede lhe declara:
Canto 1, estrofe 98, verso 1;E diz lhe mais co falso pensamento,;E dizlhe mais co falso pensamento,
Canto 1, estrofe 100, verso 1;Pera là se inclinaua a leda frota:;Pera lá se inclinaua a leda frota:
Canto 1, estrofe 100, verso 5;Não consente que em terra tão remota;Nam consente que em terra tam remota
Canto 1, estrofe 101, verso 2;Tal determinação leuar auante,;Tal determinaçam leuar a vante,
Canto 1, estrofe 101, verso 8;Erão Christãos com Mouros juntamente.;Eram Christãos com Mouros juntamente.
Canto 1, estrofe 102, verso 3;Que aqui gente de Christo não auia:;Que aqui gente de Christo nam auia:
Canto 1, estrofe 102, verso 5;O Capitão que em tudo o mouro cria,;O Capitam que em tudo o Mouro cria,
Canto 1, estrofe 103, verso 1;Estaua a Ilha aa terra tam chegada,;Estaua a Ilha aà terra tam chegada,
Canto 1, estrofe 104, verso 1;E sendo a ella o Capitão chegado,;E sendo a ella o Capitam chegado,
Canto 1, estrofe 105, verso 3;Que os pensamentos erão de inimigos,;Que os pensamentos eram de inimigos,
Canto 1, estrofe 105, verso 6;O caminho de vida nunca certo:;O caminho de vida nunca certo.
Canto 1, estrofe 106, verso 7;Que não se arme, & se indigne o Ceo sereno.;Que não se arme, & se indigne o ceo sereno,
Canto 2, estrofe 1, verso 4;A luz Celeste aas gentes encobrindo:;A luz celeste aa gentes encobrindo:
Canto 2, estrofe 1, verso 6;Lhe estaua o Deos Nocturno a porta abrĩdo:;Lhe estaua o Deos Nocturno a porta abrĩdo
Canto 2, estrofe 1, verso 7;Quando as infidas gentes se chegárão;Quando as fingidas gentes se chegárão
Canto 2, estrofe 2, verso 3;Capitão valeroso, que cortado;Capitam valeroso, que cortado
Canto 2, estrofe 2, verso 5;O Rei que manda esta Ilha, aluoraçado;O Rei que manda esta Ilha aluoroçado
Canto 2, estrofe 3, verso 8;Que a natureza obriga a desejala,;Que a natureza obriga a desejala.
Canto 2, estrofe 4, verso 6;O Rubî fino, o rigido Diamante:;O Rubî fino, o rigido diamante:
Canto 2, estrofe 4, verso 7;Daqui levaras tudo tam sobejo,;Daqui leuaras tudo tam sobejo,
Canto 2, estrofe 5, verso 1;Ao mensageiro o Capitão responde,;Ao mensageiro o Capitam responde,
Canto 2, estrofe 5, verso 2;As palavras do Rei agradecendo,;As palauras do Rei agradecendo,
Canto 2, estrofe 5, verso 4;Não entra pera dentro obedecendo,;Nam entra pera dentro obedecendo,
Canto 2, estrofe 5, verso 6;Va sem perigo, a frota não temendo,;Va sem perigo, a frota nam temendo,
Canto 2, estrofe 5, verso 8;Que a mais por tal senhor está obrigado.;Que a mais por tal senhor està obrigado.
Canto 2, estrofe 6, verso 1;Perguntalhe despois, se estão na terra;Perguntalhe despois, se estam na terra
Canto 2, estrofe 6, verso 3;O mensageiro astuto que não erra,;O mensageiro astuto que nam erra,
Canto 2, estrofe 6, verso 7;Por onde o Capitão seguramente,;Por onde o Capitam seguramente,
Canto 2, estrofe 7, verso 3;Porque podessem ser auenturados,;Porque podessem ser auenturados
Canto 2, estrofe 7, verso 8;Os que Christãos, que so tanto ver desejão.;Os que Christãos, que so tanto ver desejão:
Canto 2, estrofe 8, verso 2;Porque a boa vontade que mostraua,;Por que a boa vontade que mostraua,
Canto 2, estrofe 9, verso 1;E despois que ao Rei apresentàrão,;E despois que ao Rei apresentàram,
Canto 2, estrofe 9, verso 3;A Cidade correrão, & notàrão;A Cidade correram, & notàrão
Canto 2, estrofe 9, verso 4;Muita menos daquillo que querião,;Muito menos daquillo que querião,
Canto 2, estrofe 9, verso 5;Que os Mouros cautelosos se guardárão;Que os Mouros cautelosos se guardàram
Canto 2, estrofe 10, verso 1;Mas aquelle que sempre a mocidade;Mas aquelle que sempre a mocidade,
